ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2018-05-23,9.253100118109698,-9.856565662295338,19.161035425703044,9.253100118109698,9.253100118109698,-4.621402465659695,-4.621402465659695,-4.621402465659695,-3.690847456225706,-3.690847456225706,-3.690847456225706,-0.9305550094339878,-0.9305550094339878,-0.9305550094339878,0.0,0.0,0.0,4.631697652450003
2018-05-24,9.253667965074477,-11.460217004319722,16.75850571906881,9.253667965074477,9.253667965074477,-7.062418949178142,-7.062418949178142,-7.062418949178142,-6.167659999952068,-6.167659999952068,-6.167659999952068,-0.8947589492260736,-0.8947589492260736,-0.8947589492260736,0.0,0.0,0.0,2.191249015896335
2018-05-25,9.254235812039257,-13.231596016388538,16.165993196689737,9.254235812039257,9.254235812039257,-7.6929677939295,-7.6929677939295,-7.6929677939295,-6.849970266351418,-6.849970266351418,-6.849970266351418,-0.8429975275780809,-0.8429975275780809,-0.8429975275780809,0.0,0.0,0.0,1.5612680181097565
2018-05-26,9.254803659004034,-30.086374190007234,-1.0843395006590737,9.254803659004034,9.254803659004034,-25.79904832740229,-25.79904832740229,-25.79904832740229,-25.023016298142508,-25.023016298142508,-25.023016298142508,-0.7760320292597841,-0.7760320292597841,-0.7760320292597841,0.0,0.0,0.0,-16.544244668398257
2018-05-27,9.255371505968812,-10.627867070843555,18.825947156217698,9.255371505968812,9.255371505968812,-4.477740258014251,-4.477740258014251,-4.477740258014251,-3.782710526739938,-3.782710526739938,-3.782710526739938,-0.6950297312743133,-0.6950297312743133,-0.6950297312743133,0.0,0.0,0.0,4.777631247954561
2018-05-28,9.255939352933591,39.991115369709014,68.88162834310215,9.255939352933591,9.255939352933591,44.93950222462598,44.93950222462598,44.93950222462598,45.541038854379906,45.541038854379906,45.541038854379906,-0.6015366297539229,-0.6015366297539229,-0.6015366297539229,0.0,0.0,0.0,54.19544157755958
2018-05-29,9.25650719989837,-5.698772487290475,23.392365307577126,9.25650719989837,9.25650719989837,-0.5242732450560117,-0.5242732450560117,-0.5242732450560117,-0.026834306827290544,-0.026834306827290544,-0.026834306827290544,-0.4974389382287213,-0.4974389382287213,-0.4974389382287213,0.0,0.0,0.0,8.732233954842359
2018-05-30,9.257075046863148,-9.7141064128924,19.221859420154843,9.257075046863148,9.257075046863148,-4.075761885852658,-4.075761885852658,-4.075761885852658,-3.6908474561971634,-3.6908474561971634,-3.6908474561971634,-0.384914429655494,-0.384914429655494,-0.384914429655494,0.0,0.0,0.0,5.1813131610104906
2018-05-31,9.257642893827928,-11.30982113501036,17.283558132530548,9.257642893827928,9.257642893827928,-6.434035000489083,-6.434035000489083,-6.434035000489083,-6.167659999991717,-6.167659999991717,-6.167659999991717,-0.2663750004973652,-0.2663750004973652,-0.2663750004973652,0.0,0.0,0.0,2.8236078933388447
2018-06-01,9.258210740792707,-12.283812401959846,16.483941459727806,9.258210740792707,9.258210740792707,-6.994372366363474,-6.994372366363474,-6.994372366363474,-6.849970266388042,-6.849970266388042,-6.849970266388042,-0.14440209997543182,-0.14440209997543182,-0.14440209997543182,0.0,0.0,0.0,2.263838374429233
2018-06-02,9.258778587757485,-30.719717657527692,-0.9311416936394528,9.258778587757485,9.258778587757485,-25.04469318158888,-25.04469318158888,-25.04469318158888,-25.023016298202784,-25.023016298202784,-25.023016298202784,-0.021676883386096073,-0.021676883386096073,-0.021676883386096073,0.0,0.0,0.0,-15.785914593831395
2018-06-03,9.259346434722262,-9.11955581770169,20.653353275918246,9.259346434722262,9.259346434722262,-3.6836176355357964,-3.6836176355357964,-3.6836176355357964,-3.7827105267585828,-3.7827105267585828,-3.7827105267585828,0.0990928912227867,0.0990928912227867,0.0990928912227867,0.0,0.0,0.0,5.575728799186466
2018-06-04,9.259914281687042,41.07618306844156,69.35776923282586,9.259914281687042,9.259914281687042,45.75628595798291,45.75628595798291,45.75628595798291,45.54103885438893,45.54103885438893,45.54103885438893,0.2152471035939782,0.2152471035939782,0.2152471035939782,0.0,0.0,0.0,55.016200239669956
2018-06-05,9.26048212865182,-5.6867026685193585,24.47735367281526,9.26048212865182,9.26048212865182,0.29741218562766153,0.29741218562766153,0.29741218562766153,-0.02683430685575111,-0.02683430685575111,-0.02683430685575111,0.3242464924834123,0.3242464924834123,0.3242464924834123,0.0,0.0,0.0,9.557894314279482
2018-06-06,9.261049975616599,-7.579975865752123,21.23986586812127,9.261049975616599,9.261049975616599,-3.267104728102424,-3.267104728102424,-3.267104728102424,-3.6908474562417473,-3.6908474562417473,-3.6908474562417473,0.42374272813932196,0.42374272813932196,0.42374272813932196,0.0,0.0,0.0,5.993945247514175
2018-06-07,9.261617822581378,-11.243133789018286,17.47826937603106,9.261617822581378,9.261617822581378,-5.656016703032178,-5.656016703032178,-5.656016703032178,-6.167659999953157,-6.167659999953157,-6.167659999953157,0.5116432969209785,0.5116432969209785,0.5116432969209785,0.0,0.0,0.0,3.6056011195492
2018-06-08,9.262185669546156,-12.559049571011084,17.370393090127024,9.262185669546156,9.262185669546156,-6.263800956576093,-6.263800956576093,-6.263800956576093,-6.849970266295643,-6.849970266295643,-6.849970266295643,0.5861693097195497,0.5861693097195497,0.5861693097195497,0.0,0.0,0.0,2.998384712970063
2018-06-09,9.262753516510935,-29.790886586319534,-1.4885049289513896,9.262753516510935,9.262753516510935,-24.377111745680992,-24.377111745680992,-24.377111745680992,-25.023016298184125,-25.023016298184125,-25.023016298184125,0.6459045525031369,0.6459045525031369,0.6459045525031369,0.0,0.0,0.0,-15.114358229170056
2018-06-10,9.263321363475713,-8.727205770924405,20.4721474235786,9.263321363475713,9.263321363475713,-3.092876173106989,-3.092876173106989,-3.092876173106989,-3.7827105266781236,-3.7827105266781236,-3.7827105266781236,0.6898343535711344,0.6898343535711344,0.6898343535711344,0.0,0.0,0.0,6.170445190368724
2018-06-11,9.263889210440492,41.26195361878514,70.46126701925908,9.263889210440492,9.263889210440492,46.258411994625945,46.258411994625945,46.258411994625945,45.54103885436806,45.54103885436806,45.54103885436806,0.7173731402578881,0.7173731402578881,0.7173731402578881,0.0,0.0,0.0,55.52230120506644
2018-06-12,9.26445705740527,-4.415250239862935,24.715485365750222,9.26445705740527,9.26445705740527,0.7015455820501102,0.7015455820501102,0.7015455820501102,-0.02683430688421584,-0.02683430688421584,-0.02683430688421584,0.7283798889343263,0.7283798889343263,0.7283798889343263,0.0,0.0,0.0,9.96600263945538
2018-06-13,9.26502490437005,-8.62768171269487,20.634538036645175,9.26502490437005,9.26502490437005,-2.967686429935849,-2.967686429935849,-2.967686429935849,-3.690847456214036,-3.690847456214036,-3.690847456214036,0.7231610262781867,0.7231610262781867,0.7231610262781867,0.0,0.0,0.0,6.2973384744342
