ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2014-01-01,128.86007999999998,90.89845087220694,240.0398117110937,128.86007999999998,128.86007999999998,41.464028160005505,41.464028160005505,41.464028160005505,41.464028160005505,41.464028160005505,41.464028160005505,0.0,0.0,0.0,170.3241081600055
2014-02-01,128.48576523627824,78.83581686320933,228.27657141292576,128.48576523627824,128.48576523627824,25.009480695831122,25.009480695831122,25.009480695831122,25.009480695831122,25.009480695831122,25.009480695831122,0.0,0.0,0.0,153.49524593210936
2014-03-01,128.14767448194894,69.05349438923314,219.64331913152162,128.14767448194894,128.14767448194894,16.968863236226444,16.968863236226444,16.968863236226444,16.968863236226444,16.968863236226444,16.968863236226444,0.0,0.0,0.0,145.11653771817538
2014-04-01,127.77335971822718,46.52420202896766,199.8032466399053,127.77335971822718,127.77335971822718,-3.186132395093185,-3.186132395093185,-3.186132395093185,-3.186132395093185,-3.186132395093185,-3.186132395093185,0.0,0.0,0.0,124.587227323134
2014-05-01,127.4111196243029,48.53007784629432,195.76086163412802,127.4111196243029,127.4111196243029,-7.3973838174254825,-7.3973838174254825,-7.3973838174254825,-7.3973838174254825,-7.3973838174254825,-7.3973838174254825,0.0,0.0,0.0,120.01373580687742
2014-06-01,127.03680484543187,50.54342698554413,202.36685033502474,127.03680484543187,127.03680484543187,2.313732945598889,2.313732945598889,2.313732945598889,2.313732945598889,2.313732945598889,2.313732945598889,0.0,0.0,0.0,129.35053779103077
2014-07-01,126.67456473684705,41.24540852560663,195.67053580682676,126.67456473684705,126.67456473684705,-4.348057396072325,-4.348057396072325,-4.348057396072325,-4.348057396072325,-4.348057396072325,-4.348057396072325,0.0,0.0,0.0,122.32650734077473
2014-08-01,126.30024995797605,51.01934968231146,207.39654520311197,126.30024995797605,126.30024995797605,2.184530501271724,2.184530501271724,2.184530501271724,2.184530501271724,2.184530501271724,2.184530501271724,0.0,0.0,0.0,128.4847804592478
2014-09-01,125.92593518951836,59.165877841037336,211.26002836718644,125.92593518951836,125.92593518951836,11.056371122678867,11.056371122678867,11.056371122678867,11.056371122678867,11.056371122678867,11.056371122678867,0.0,0.0,0.0,136.9823063121972
2014-10-01,125.5636950910109,35.45411513754388,193.40913113470916,125.5636950910109,125.5636950910109,-9.548209538219014,-9.548209538219014,-9.548209538219014,-9.548209538219014,-9.548209538219014,-9.548209538219014,0.0,0.0,0.0,116.01548555279189
2014-11-01,125.18938032255323,48.73117200491975,199.68444492098098,125.18938032255323,125.18938032255323,-0.38301103671803727,-0.38301103671803727,-0.38301103671803727,-0.38301103671803727,-0.38301103671803727,-0.38301103671803727,0.0,0.0,0.0,124.8063692858352
2014-12-01,124.82714022404578,-24.577352471190355,130.75517203932102,124.82714022404578,124.82714022404578,-76.90129462860172,-76.90129462860172,-76.90129462860172,-76.90129462860172,-76.90129462860172,-76.90129462860172,0.0,0.0,0.0,47.92584559544406
2015-01-01,124.4528254534097,90.98769684956423,245.77993940815662,124.4528254534097,124.4528254534097,42.17376162999678,42.17376162999678,42.17376162999678,42.17376162999678,42.17376162999678,42.17376162999678,0.0,0.0,0.0,166.6265870834065
